date,raanking,title,writer,press,kategorie
202402,1,마흔에 읽는 쇼펜하우어,강용수 저,유노북스,국내도서-인문
202402,2,나는 메트로폴리탄 미술관의 경비원입니다,"패트릭 브링리 저/김희정,조현주 역",웅진지식하우스,국내도서-에세이
202402,3,세이노의 가르침,세이노(SayNo) 저,데이원,국내도서-자기계발
202402,4,아이는 무엇으로 자라는가,버지니아 사티어 저/강유리 역,포레스트북스,국내도서-가정 살림
202402,5,이처럼 사소한 것들,클레어 키건 저/홍한별 역,다산책방,국내도서-소설/시/희곡
202402,6,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저,YBM(와이비엠),국내도서-국어 외국어 사전
202402,7,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS 저,YBM(와이비엠),국내도서-국어 외국어 사전
202402,8,박근혜 회고록 1 어둠을 지나 미래로,박근혜 저,중앙북스(books),국내도서-사회 정치
202402,9,퓨처 셀프,벤저민 하디 저/최은아 역,상상스퀘어,국내도서-자기계발
202402,10,주술회전 25 일반판,아쿠타미 게게 글그림/이정운 역,서울미디어코믹스(서울문화사),국내도서-만화/라이트노벨
202402,11,박근혜 회고록 2 어둠을 지나 미래로,박근혜 저,중앙북스(books),국내도서-사회 정치
202402,12,나에게 들려주는 예쁜 말,김종원 글/나래 그림,상상아이,국내도서-어린이
202402,13,아홉 살에 시작하는 똑똑한 초등신문,신효원 글,책장속북스,국내도서-어린이
202402,14,남에게 보여주려고 인생을 낭비하지 마라,아르투어 쇼펜하우어/저박제헌 역,페이지2,국내도서-인문
202402,15,생각이 너무 많은 어른들을 위한 심리학 (10만부 돌파 기념 스페셜 에디션),김혜남 저,메이븐,국내도서-인문
202402,16,도둑맞은 집중력,요한 하리 저/김하현 역,어크로스,국내도서-인문
202402,17,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,쇼펜하우어 저/김욱 편역,포레스트북스,국내도서-인문
202402,18,처음부터 시작하는 주식투자 단타전략,홍인기 저,길벗,국내도서-경제 경영
202402,19,나는 행복한 푸바오 할부지입니다,강철원 저,시공사,국내도서-에세이
202402,20,최소한의 한국사,최태성 저,프런트페이지,국내도서-역사
202402,21,성공하는 리더들의 영어 필사 100일의 기적,"퍼포먼스 코치 제이,퍼포먼스 코치 리아 저",넥서스,국내도서-국어 외국어 사전
202402,22,퍼스널 MBA,"조쉬 카우프만 저/이상호,박상진 공역",진성북스,국내도서-경제 경영
202402,23,유목민의 투자의 정석,유목민 저,리더스북,국내도서-경제 경영
202402,24,데일 카네기 인간관계론 (무삭제 완역본),데일 카네기 저/임상훈 역,현대지성,국내도서-자기계발
202402,25,내가 한 말을 내가 오해하지 않기로 함,문상훈 저,위너스북,국내도서-에세이
202402,26,비트코인 슈퍼 사이클,처리형(신민철) 저,거인의정원,국내도서-경제 경영
202402,27,느리게 나이 드는 습관,정희원 저,한빛라이프,국내도서-건강 취미
202402,28,사랑인 줄 알았는데 부정맥,"전국유료실버타운협회, 포푸라샤 편집부 저/이지수 역",포레스트북스,국내도서-소설/시/희곡
202402,29,꿰뚫는 한국사,"홍장원,김재원,오창석,배상훈 저",날리지,국내도서-역사
202402,30,슈뻘맨의 숨은 과학 찾기 3,"슈뻘맨 원저/서후 글/류수형 그림/샌드박스네트워크,정재형 감수",미래엔아이세움,국내도서-어린이
202402,31,메리골드 마음 사진관,윤정은 저,북로망스,국내도서-소설/시/희곡
202402,32,결국 해내는 사람들의 원칙 (리커버 에디션),"앨런 피즈,바바라 피즈 공저/이재경 역",반니,국내도서-자기계발
202402,33,"2024 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화 (1,2,3급)",최태성 저,이투스북,국내도서-수험서 자격증
202402,34,봄의 폭풍과 몬스터 3,미츠바치 미유키 글그림,학산문화사,국내도서-만화/라이트노벨
202402,35,웡카,"시빌 파운더 글/김난령 역/폴 킹,사이먼 파너비 각본",시공주니어,국내도서-어린이
202402,36,맡겨진 소녀,클레어 키건 저/허진 역,다산책방,국내도서-소설/시/희곡
202402,37,모순,양귀자 저,쓰다,국내도서-소설/시/희곡
202402,38,역행자 확장판,자청 저,웅진지식하우스,국내도서-자기계발
202402,39,AI 2024,김덕진 저,스마트북스,국내도서-경제 경영
202402,40,돈의 속성 300쇄 리커버,김승호 저,스노우폭스북스,국내도서-경제 경영
202402,41,흔한남매의 흔한 호기심 11,"흔한남매 원저/안치현 글/유난희 그림/이정모,흔한컴퍼니 감수",미래엔아이세움,국내도서-어린이
202402,42,원씽 THE ONE THING,"게리 켈러,제이 파파산 공저/구세희 역",비즈니스북스,국내도서-자기계발
202402,43,읽으면서 바로 써먹는 어린이 세계 여행,한날 글그림,파란정원,국내도서-어린이
202402,44,오십에 읽는 주역,강기진 저,유노북스,국내도서-인문
202402,45,해커스 토익 기출 VOCA (보카),David Cho 저,해커스어학연구소,국내도서-국어 외국어 사전
202402,46,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,이투스북,국내도서-수험서 자격증
202402,47,극락가 2 더블특전판,사노 유토 글그림,대원,국내도서-만화/라이트노벨
202402,48,메멘과 모리,요시타케 신스케 글그림/권남희 역,김영사,국내도서-어린이
202402,49,무례한 친구가 생겼어요,크리스티나 퍼니발 글/케이티 드와이어 그림/이은경 역,리틀포레스트,국내도서-유아
202402,50,ETS 토익기출 파트별 VOCA 보카,ETS 저,YBM(와이비엠),국내도서-국어 외국어 사전
202402,51,트렌드 코리아 2024,"김난도,전미영,최지혜,이수진,권정윤,한다혜,이준영,이향은,이혜원,추예린,전다현 공저",미래의창,국내도서-경제 경영
202402,52,벌써 마흔이 된 딸에게,한성희 저,메이븐,국내도서-인문
202402,53,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저,이투스북,국내도서-수험서 자격증
202402,54,용선생 교과서 세계사 1,"사회평론 역사연구소 글/뭉선생,이우일 그림/전국초등사회교과모임 감수",사회평론,국내도서-어린이
202402,55,요즘 어른을 위한 최소한의 세계사,임소미 저/김봉중 감수,빅피시,국내도서-역사
202402,56,좋은 일이 오려고 그러나 보다 (리커버판),박여름 저,히읏,국내도서-에세이
202402,57,"푸바오, 언제나 사랑해","에버랜드 동물원 글,사진",시공주니어,국내도서-에세이
202402,58,구의 증명,최진영 저,은행나무,국내도서-소설/시/희곡
202402,59,사는 동안 한 번은 팔아봐라,서과장 저,마인드셋(Mindset),국내도서-자기계발
202402,60,ETS 토익 단기공략 750+ (LC+RC),ETS 저,YBM(와이비엠),국내도서-국어 외국어 사전
202402,61,진짜 쓰는 실무 엑셀,오빠두(전진권) 저,제이펍,국내도서-IT 모바일
202402,62,수상한 한의원,배명은 저,텍스티(TXTY),국내도서-소설/시/희곡
202402,63,월간순정 노자키 군 15 한정판,"이즈미 츠바키 글,그림",학산문화사,국내도서-만화/라이트노벨
202402,64,10대를 위한 총균쇠 수업,김정진 저,넥스트씨,국내도서-청소년
202402,65,너를 위한 삼월,박서함 저,김영사,국내도서-에세이
202402,66,고전의 숲,김태완 저,포레스트북스,국내도서-청소년
202402,67,용선생 교과서 세계사 2,"사회평론 역사연구소 글/뭉선생,이우일 그림/전국초등사회교과모임 감수",사회평론,국내도서-어린이
202402,68,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소 저,해커스어학연구소,국내도서-국어 외국어 사전
202402,69,데일 카네기 자기관리론,데일 카네기 저/임상훈 역,현대지성,국내도서-자기계발
202402,70,아주 희미한 빛으로도,최은영 저,문학동네,국내도서-소설/시/희곡
202402,71,흔한남매 15,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,국내도서-어린이
202402,72,설민석의 한국사 대모험 28,"설민석,스토리박스 글/정현희 그림/강석화 감수",단꿈아이,국내도서-어린이
202402,73,모든 것은 기본에서 시작한다,손웅정 저,수오서재,국내도서-에세이
202402,74,물고기는 존재하지 않는다,룰루 밀러 저/정지인 역,곰출판,국내도서-자연과학
202402,75,부자 아빠 가난한 아빠 20주년 특별 기념판,로버트 기요사키 저/안진환 역,민음인,국내도서-경제 경영
202402,76,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,송민섭(수페TV) 저,21세기북스,국내도서-경제 경영
202402,77,이은경쌤의 초등어휘일력 365,이은경 저,포레스트북스,국내도서-가정 살림
202402,78,타이탄의 도구들 (블랙 에디션),"팀 페리스 저/박선령,정지현 공역",토네이도,국내도서-자기계발
202402,79,조선미의 초등생활 상담소,조선미 저,북하우스,국내도서-가정 살림
202402,80,황금종이 1,조정래 저,해냄,국내도서-소설/시/희곡
202402,81,EBS 왕초보영어 2024 (상편),EBS 기획/마스터유진 저,한국교육방송공사,국내도서-국어 외국어 사전
202402,82,눈물꽃 소년,박노해 저,느린걸음,국내도서-에세이
202402,83,키위엔 영어회화 하루 5분의 기적,박강준 저,키위엔,국내도서-국어 외국어 사전
202402,84,파타,문가영 저,위즈덤하우스,국내도서-에세이
202402,85,황금종이 2,조정래 저,해냄,국내도서-소설/시/희곡
202402,86,부의 추월차선 (10주년 스페셜 에디션),엠제이 드마코 저/신소영 역,토트출판사,국내도서-경제 경영
202402,87,이토록 공부가 재미있어지는 순간,박성혁 저,다산북스,국내도서-청소년
202402,88,영어 필사 100일의 기적,퍼포먼스 코치 리아 저,넥서스,국내도서-국어 외국어 사전
202402,89,철학의 숲,브렌던 오도너휴 저/허성심 역,포레스트북스,국내도서-청소년
202402,90,내가 생각한 인생이 아니야,류시화 저,수오서재,국내도서-에세이
202402,91,금단의 마술,히가시노 게이고 저/김난주 역,재인,국내도서-소설/시/희곡
202402,92,이기적 유전자 The Selfish Gene,"리처드 도킨스 저/홍영남,이상임 공역",을유문화사,국내도서-자연과학
202402,93,더 마인드,하와이 대저택 저,웅진지식하우스,국내도서-자기계발
202402,94,"어머님, 의대생은 초등 6년을 이렇게 보냅니다",임민찬 저,카시오페아,국내도서-가정 살림
202402,95,"뇌, 욕망의 비밀을 풀다",한스-게오르크 호이젤 저/강영옥 등역,비즈니스북스,국내도서-경제 경영
202402,96,흔한남매 과학 탐험대 0 과학의 기초,"흔한남매 원저/김언정,이현진 글/김덕영 그림/정현철,김희목,권경아,최진수 기획/최진수 감수",주니어김영사,국내도서-어린이
202402,97,내 몸 혁명,박용우 저,루미너스,국내도서-건강 취미
202402,98,내가 원하는 곳에 나를 데려가라,네빌 고다드 저/김은영 역,터닝페이지,국내도서-자기계발
202402,99,뿐이 토핑 이유식,정주희(희야) 저/이수진 감수,서사원,국내도서-가정 살림
202402,100,아주 작은 습관의 힘,제임스 클리어 저/이한이 역,비즈니스북스,국내도서-자기계발
202402,101,코스모스,칼 세이건 저/홍승수 역,사이언스북스,국내도서-자연과학
202402,102,조용헌의 내공,조용헌 저,생각정원,국내도서-인문
202402,103,인간 실격,다자이 오사무 저/김춘미 역,민음사,국내도서-소설/시/희곡
202402,104,부를 끌어당기는 글쓰기,부아c 저,황금부엉이,국내도서-경제 경영
202402,105,원펀맨 ONE PUNCH MAN 29,ONE 원저/무라타 유스케 그림,대원,국내도서-만화/라이트노벨
202402,106,SQL 자격검정 실전문제,한국데이터진흥원 저,한국데이터산업진흥원,국내도서-IT 모바일
202402,107,인생은 순간이다,김성근 저,다산북스,국내도서-에세이
202402,108,너는 다시 외로워질 것이다,공지영 저,해냄,국내도서-에세이
