date,raanking,title,writer,press,kategorie
202401,15,이처럼 사소한 것들,클레어 키건 저/홍한별 역,다산책방,소설/시/희곡
202301,15,세이노의 가르침,세이노(SayNo) 저,데이원,자기계발
202302,15,슬램덩크 신장재편판 19,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202303,15,내면소통,김주환 저,인플루엔셜,인문
202304,15,건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식,조승우 저,바이북스,건강 취미
202305,15,내면소통,김주환 저,인플루엔셜,인문
202306,15,원씽 THE ONE THING,"게리 켈러,제이 파파산 공저/구세희 역",비즈니스북스,자기계발
202307,15,ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝,ETS 저,YBM(와이비엠),국어 외국어 사전
202308,15,주술회전 23 더블특장판,아쿠타미 게게 글그림/이정운 역,서울미디어코믹스(서울문화사),만화/라이트노벨
202309,15,일생에 한 번 내 집을 고친다면,오아시스(김혜정) 저,터치아트,가정 살림
202310,15,디케의 눈물,조국 저,다산북스,사회 정치
202311,15,최소한의 한국사,최태성 저,프런트페이지,역사
202312,15,최소한의 한국사,최태성 저,프런트페이지,역사
202203,15,흔한남매 과학 탐험대 4 물질,"흔한남매 원저/이현진,닥터 스코 글/김덕영 그림/정현철,김희목,권경아,최진수 기획/최진수 감수",주니어김영사,어린이
202204,15,마음의 법칙,"폴커 키츠,마누엘 투쉬 공저/김희상 역",포레스트북스,국내도서-인문
202205,15,이상한 과자 가게 전천당 14,히로시마레이코 글/쟈쟈 그림/김정화 역,길벗스쿨,국내도서-어린이
202206,15,최재천의 공부,"최재천,안희경 저",김영사,국내도서-인문
202207,15,인플레이션에서 살아남기,오건영 저,페이지2,국내도서-경제 경영
202208,15,그릿 (50만 부 판매 기념 리커버 골드에디션),앤절라 더크워스 저/김미정 역,비즈니스북스,국내도서-자기계발
202209,15,흔한남매 11,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,국내도서-어린이
202210,15,이 책은 돈 버는 법에 관한 이야기,고명환 저,라곰,국내도서-경제 경영
202211,15,만일 내가 인생을 다시 산다면 (35만 부 기념 스페셜 에디션),김혜남 저,메이븐,국내도서-인문
202212,15,모든 것은 기본에서 시작한다,손웅정 저,수오서재,국내도서-에세이
202402,16,도둑맞은 집중력,요한 하리 저/김하현 역,어크로스,인문
202401,16,유목민의 투자의 정석,유목민 저,리더스북,경제 경영
202301,16,내가 틀릴 수도 있습니다 (토마스 산체스 에디션),비욘 나티코 린데블라드 저/토마스 산체스 그림/박미경 역,다산초당,인문
202302,16,슬램덩크 신장재편판 18,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202303,16,사장학개론,김승호 저,스노우폭스북스,경제 경영
202304,16,브라질에 비가 내리면 스타벅스 주식을 사라,피터 나바로 저/이창식 역/윤지호 감수,에프엔미디어,경제 경영
202305,16,장하준의 경제학 레시피,장하준 저/김희정 역,부키,경제 경영
202306,16,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩,ETS 저,YBM(와이비엠),국어 외국어 사전
202307,16,모든 삶은 흐른다 (특별판 트레싱지 에디션),로랑스 드빌레르 저/이주영 역,피카(FIKA),인문
202308,16,ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝,ETS 저,YBM(와이비엠),국어 외국어 사전
202309,16,가짜 노동,"데니스 뇌르마르크,아네르스 포그 옌센 저/이수영 역",자음과모음,사회 정치
202310,16,1%를 읽는 힘,메르 저,토네이도,경제 경영
202311,16,도시와 그 불확실한 벽,무라카미 하루키 저/홍은주 역,문학동네,소설/시/희곡
202312,16,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,쇼펜하우어 저/김욱 편역,포레스트북스,인문
202203,16,에그박사 6,에그박사 원저/박송이 글/홍종현 그림/장민호 감수,미래엔아이세움,어린이
202204,16,나의 투자는 새벽 4시에 시작된다,유목민 저,리더스북,국내도서-경제 경영
202205,16,물고기는 존재하지 않는다,룰루 밀러 저/정지인 역,곰출판,국내도서-자연과학
202206,16,사람이 보인다 관상백과,편집부 저,움터미디어,국내도서-종교
202207,16,에그박사 7,에그박사 원저/박송이 글/홍종현 그림/황대인 감수,미래엔아이세움,국내도서-어린이
202208,16,기분을 관리하면 인생이 관리된다,김다슬 저,클라우디아,국내도서-에세이
202209,16,작별인사,김영하 저,복복서가,국내도서-소설/시/희곡
202210,16,잘될 수밖에 없는 너에게,최서영 저,북로망스,국내도서-에세이
202211,16,흔한남매 과학 탐험대 6 물리 2,"흔한남매 원저/이현진,닥터 스코 글/김덕영 그림/정현철,김희목,권경아,최진수 기획/김희목 감수",주니어김영사,국내도서-어린이
202212,16,파친코 1,이민진 저/신승미 역,인플루엔셜,국내도서-소설/시/희곡
202402,17,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,쇼펜하우어 저/김욱 편역,포레스트북스,인문
202401,17,2024 에듀윌 공인중개사 오시훈 합격서 부동산공법 이론+체계도,오시훈 편저,에듀윌,수험서 자격증
