date,raanking,title,writer,press,kategorie
202402,101,코스모스,칼 세이건 저/홍승수 역,사이언스북스,자연과학
202401,101,2024 이기적 컴퓨터활용능력 1급 필기 기본서,"홍태성,영진정보연구소 공저",영진닷컴,IT 모바일
202301,101,8주간의 기적 근육의 부활,조명기 저,청림Life,건강 취미
202302,101,마케팅 설계자,러셀 브런슨 저/이경식 역,윌북(willbook),경제 경영
202303,101,레버리지,롭 무어 저/김유미 역,다산북스,경제 경영
202304,101,슬램덩크 신장재편판 15,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202305,101,"2023 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성 저,이투스북,수험서 자격증
202306,101,인생의 열 가지 생각,이해인 저,마음산책,에서이
202307,101,총 균 쇠,재레드 다이아몬드 저/강주헌 역,김영사,인문
202308,101,부의 추월차선 (10주년 스페셜 에디션),엠제이 드마코 저/신소영 역,토트출판사,경제 경영
202309,101,정재승의 인간 탐구 보고서 12,"정재승 기획/정재은,이고은 글/김현민 그림",아울북,어린이
202310,101,도파민네이션,애나 렘키 저/김두완 역,흐름출판,인문
202311,101,바다가 들리는 편의점,마치다 소노코 저/황국영 역,모모,소설/시/희곡
202312,101,총 균 쇠,재레드 다이아몬드 저/강주헌 역,김영사,인문
202201,101,세븐 테크,"김미경,김상균,김세규,김승주,이경전,이한주,정지훈,최재붕,한재권 저",웅진지식하우스,경제 경영
202202,101,마법천자문 52,유대영 글/홍거북 그림/김창환 감수,아울북,어린이
202203,101,벌거벗은 세계사 : 사건편,tvN〈벌거벗은 세계사〉제작팀 저,교보문고,역사
202402,102,조용헌의 내공,조용헌 저,생각정원,인문
202401,102,사는 동안 한 번은 팔아봐라,서과장 저,마인드셋(Mindset),자기계발
202301,102,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소 저,해커스어학연구소,국어 외국어 사전
202302,102,"어머니, 사교육을 줄이셔야 합니다",정승익 저,메이트북스,가정 살림
202303,102,2023 선재국어 실전 봉투 모의고사 1,이선재 편저,에스티유니타스,수험서 자격증
202304,102,슬램덩크 신장재편판 18,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202305,102,아홉 살에 시작하는 똑똑한 초등신문,신효원 글,책장속북스,어린이
202306,102,아는 만큼 보인다,유홍준 저,창비,역사
202307,102,읽으면서 바로 써먹는 어린이 세계사 퀴즈 1,한날 글그림,파란정원,어린이
202308,102,시장 불변의 법칙,장지웅 저,여의도책방,경제 경영
202309,102,잘못된 장소 잘못된 시간,질리언 매캘리스터 저/이경 역,시옷북스,소설/시/희곡
202310,102,타키 포오 코믹 어드벤처 3,캐릭온TV 원저/안도감 글/김규태 그림,대원씨아이(단행)(대원키즈),어린이
202311,102,나 혼자 슬퍼하겠습니다,정경심 저,보리,에서이
202312,102,그대는 나의 여름이 되세요,서덕준 저,위즈덤하우스,소설/시/희곡
202201,102,돈의 흐름에 올라타라,홍춘욱 저,스마트북스,경제 경영
202202,102,50대에 도전해서 부자 되는 법,서미숙 저,유노북스,경제 경영
202203,102,연이와 버들도령,백희나 글그림,책읽는곰,유아
202402,103,인간 실격,다자이 오사무 저/김춘미 역,민음사,소설/시/희곡
202401,103,SKY 로드맵,이병훈 저,쌤앤파커스,가정 살림
202301,103,보이지 않는 곳에서 애쓰고 있는 너에게,최대호 저,떠오름,에서이
202302,103,파친코 2,이민진 저/신승미 역,인플루엔셜,소설/시/희곡
202303,103,보이지 않는 곳에서 애쓰고 있는 너에게,최대호 저,떠오름,에서이
202304,103,슬램덩크 신장재편판 5,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202305,103,모순,양귀자 저,쓰다,소설/시/희곡
202306,103,2023 에듀윌 공인중개사 오시훈 합격서 부동산공법 체계도,오시훈 편저,에듀윌,수험서 자격증
202307,103,아주 희미한 빛으로도,최은영 저,문학동네,소설/시/희곡
202308,103,프리워터,아미나 루크먼 도슨 글/이원경 역,밝은미래,어린이
202309,103,그리스 로마 신화 35,박시연 글/최우빈 그림/김헌 감수,아울북,어린이
202310,103,흔한남매 이상한 나라의 고전 읽기 4,흔한남매 감수/최재훈 글/정주연 그림,미래엔아이세움,어린이
202311,103,마케팅 설계자,러셀 브런슨 저/이경식 역,윌북(willbook),경제 경영
202312,103,부자 아빠 가난한 아빠 20주년 특별 기념판,로버트 기요사키 저/안진환 역,민음인,경제 경영
202201,103,2022 시나공 총정리 컴퓨터활용능력 1급 필기,길벗알앤디 저,길벗,IT 모바일
202202,103,2022 이유진 국어 필사즉생 모의고사 백일기도3 실전유형,이유진 편저,고시동네,수험서 자격증
202203,103,거의 모든 행동 표현의 영어,서영조 저,사람in,국어 외국어 사전
202402,104,부를 끌어당기는 글쓰기,부아c 저,황금부엉이,경제 경영
202401,104,2024 이기적 컴퓨터활용능력 2급 필기 기본서,"홍태성,영진정보연구소 공저",영진닷컴,IT 모바일
202301,104,열혈강호 87,전극진 글/양재현 그림,대원,만화/라이트노벨
202302,104,백은의 언덕 검은 달 2,"오노 후유미 저/야마다 아키히로 그림/추지나,이진 역",엘릭시르,소설/시/희곡
202303,104,미스터 프레지던트,탁현민 저,메디치미디어,사회 정치
202304,104,슬램덩크 신장재편판 10,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202305,104,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소 저,해커스어학연구소,국어 외국어 사전
202306,104,최애의 아이 3,아카사카 아카 글/요코야리 멘고 그림,대원,만화/라이트노벨
202307,104,지적 대화를 위한 넓고 얕은 지식 1,채사장 저,웨일북,인문
202308,104,그리스 로마 신화 34,박시연 글/최우빈 그림/김헌 감수,아울북,어린이
202309,104,2023 에듀윌 공인중개사 김민석 필살키 최종이론&마무리100선 부동산공시법,김민석 편저,에듀윌,수험서 자격증
202310,104,달의 아이,최윤석 저,포레스트북스,소설/시/희곡
202311,104,겨울의 언어,김겨울 저,웅진지식하우스,에서이
202312,104,사이언스 2024,"내셔널지오그래픽 키즈 글/이한음,김아림 공역",비룡소,어린이
202201,104,앞으로 100년,"이언 골딘,로버트 머가 저/권태형 등역",동아시아,경제 경영
202202,104,The Secret 시크릿,론다 번 저/김우열 역,살림Biz,자기계발
202203,104,나는 당신이 행복했으면 좋겠습니다,박찬위 저,하이스트,에서이
202402,105,원펀맨 ONE PUNCH MAN 29,ONE 원저/무라타 유스케 그림,대원,만화/라이트노벨
202401,105,맥스웰 몰츠 성공의 법칙,맥스웰 몰츠 저/신동숙 역,비즈니스북스,자기계발
202301,105,겨울 이불,안녕달 글그림,창비,유아
202302,105,하얼빈,김훈 저,문학동네,소설/시/희곡
202303,105,장하준의 경제학 레시피,장하준 저/김희정 역,부키,경제 경영
202304,105,슬램덩크 신장재편판 4,"이노우에 타케히코 글,그림",대원,만화/라이트노벨
202305,105,내세에는 남남이 좋겠어 7,코니시 아스카 글그림/박소현 역,소미미디어,만화/라이트노벨
202306,105,밥 프록터 부의 원리,밥 프록터 저/이재경 역/조성희 감수,윌북(willbook),자기계발
202307,105,최애의 아이 5,아카사카 아카 글/요코야리 멘고 그림,대원,만화/라이트노벨
202308,105,공부하고 있다는 착각,대니얼 T. 윌링햄 저/박세연 역,웅진지식하우스,인문
202309,105,타키 포오 코믹 어드벤처 3,캐릭온TV 원저/안도감 글/김규태 그림,대원씨아이(단행)(대원키즈),어린이
202310,105,키위엔 영어회화 하루 5분의 기적,박강준 저,키위엔,국어 외국어 사전
202311,105,마법천자문 60 특별판,유대영 글/정수영 그림/강용철 감수,아울북,어린이
202312,105,만일 내가 인생을 다시 산다면 (35만 부 기념 스페셜 에디션),김혜남 저,메이븐,인문
202201,105,임포스터,리사 손 저,21세기북스,가정 살림
202202,105,10년 동안 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까?,김재수(렘군) 저,비즈니스북스,경제 경영
202203,105,꽃을 보듯 너를 본다,나태주 저,지혜,소설/시/희곡
202402,106,SQL 자격검정 실전문제,한국데이터진흥원 저,한국데이터산업진흥원,IT 모바일
