date,ranking,title,writer,press,kategorie
202312,9,남에게 보여주려고 인생을 낭비하지 마라,"아르투어 쇼펜하우어 지음, 박제헌 옮김",페이지2(page2),인문학
202203,9,파친코 2,"이민진 지음, 이미정 옮김",문학사상,소설/시/희곡
202204,9,저주토끼 (리커버),정보라 지음,아작,소설/시/희곡
202205,9,5년 후 나에게 - Q&A a day (2022 메리골드 Edition),"포터 스타일 지음, 정지현 옮김",토네이도,자기계발
202206,9,스파이 패밀리 9,엔도 타츠야 지음,학산문화사(만화),만화
202207,9,불편한 편의점 (벚꽃 에디션),김호연 지음,나무옆의자,소설/시/희곡
202208,9,이상한 변호사 우영우 2,문지원 지음,김영사,예술/대중문화
202209,9,불편한 편의점 (벚꽃 에디션),김호연 지음,나무옆의자,소설/시/희곡
202210,9,원피스 103,오다 에이치로 지음,대원씨아이(만화),만화
202401,10,세이노의 가르침 (70만 부 기념 빨간 표지),세이노(SayNo) ,데이원,자기계발
202402,10,사랑인 줄 알았는데 부정맥,"사단법인 전국유료실버타운협회 포푸라샤 편집부 지음, 이지수 옮김",포레스트북스,소설/시/희곡
202403,10,세이노의 가르침 (70만 부 기념 빨간 표지),세이노(SayNo) 지음,데이원,자기계발
202301,10,슬램덩크 신장재편판 19,이노우에 타케히코 지음,대원씨아이(만화),만화
202302,10,슬램덩크 신장재편판 4,이노우에 타케히코 지음,대원씨아이(만화),만화
202303,10,사이토 히토리의 1퍼센트 부자의 법칙,"사이토 히토리 지음, 김진아 옮김",나비스쿨,자기계발
202304,10,더 좋은 삶을 위한 철학,"마이클 슈어 지음, 염지선 옮김",김영사,인문학
202305,10,원피스 105,오다 에이치로 지음,대원씨아이(만화),만화
202306,10,명탐정 코난 103,아오야마 고쇼 지음,서울미디어코믹스(서울문화사),만화
202307,10,역행자 확장판,자청 지음,웅진지식하우스,자기계발
202308,10,비가 오면 열리는 상점,유영광 지음,클레이하우스,소설/시/희곡
202309,10,원피스 106,오다 에이치로 지음,대원씨아이(만화),만화
202310,10,요즘 어른을 위한 최소한의 세계사,"임소미 지음, 김봉중 감수",빅피시,역사
202311,10,작별하지 않는다,한강 지음,문학동네,소설/시/희곡
202312,10,이처럼 사소한 것들,"클레어 키건 지음, 홍한별 옮김",다산책방,소설/시/희곡
202203,10,여름이 온다,이수지 지음,비룡소,유아
202204,10,지박소년 하나코 군 17 (특장판),"아이다이로 지음, 장혜영 옮김",서울미디어코믹스(서울문화사),만화
202205,10,2022 제13회 젊은작가상 수상작품집,임솔아 외 지음,문학동네,소설/시/희곡
202206,10,도쿄 에일리언즈 3 (초판 한정 홀로그램 양면 일러스트 카드 + 선착순 한정 아크릴 일러스트 카드 포함 특장판),"NAOE 지음, 박소현 옮김",서울미디어코믹스(서울문화사),만화
202207,10,키득키득 사운드북 : 동물 오케스트라,"샘 태플린 지음, 가레스 루카스 그림, 앤서니 마크스 음악",어스본코리아,유아
202208,10,야쿠자의 덕질 1,"야츠다 테키 지음, 박연지 옮김",㈜소미미디어,만화
202209,10,얼굴만으론 좋아할 수 없어요 5,"안자이 카린 지음, 이소연 옮김",서울미디어코믹스(서울문화사),만화
202210,10,역행자,자청 지음,웅진지식하우스,자기계발
202401,11,"오고 있느냐, 봄",이다운 ,용감한까치,에세이
202402,11,맡겨진 소녀,"클레어 키건 지음, 허진 옮김",다산책방,소설/시/희곡
202403,11,"오고 있느냐, 봄",이다운 지음,용감한까치,에세이
202301,11,슬램덩크 신장재편판 3,이노우에 타케히코 지음,대원씨아이(만화),만화
202302,11,슬램덩크 신장재편판 6,이노우에 타케히코 지음,대원씨아이(만화),만화
202303,11,키득키득 사운드북 : 동물 오케스트라,"샘 태플린 지음, 가레스 루카스 그림, 앤서니 마크스 음악",어스본코리아,유아
202304,11,체인소 맨 13,후지모토 타츠키 지음,학산문화사(만화),만화
202305,11,하늘과 바람과 별과 인간,김상욱 지음,바다출판사,과학
202306,11,눈부신 안부,백수린 지음,문학동네,소설/시/희곡
202307,11,최애의 아이 11,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),만화
202308,11,역행자 확장판,자청 지음,웅진지식하우스,자기계발
202309,11,문과 남자의 과학 공부,유시민 지음,돌베개,인문학
202310,11,"설자은, 금성으로 돌아오다",정세랑 지음,문학동네,소설/시/희곡
202311,11,기적의 자세요정,자세요정 지음,다산라이프,건강/취미
202312,11,황금종이 1,조정래 지음,해냄,소설/시/희곡
202203,11,극장판 주술회전 0 노벨라이즈,"아쿠타미 게게 지음, 세코 히로시 각본, 유유리 옮김",서울미디어코믹스(서울문화사),소설/시/희곡
202204,11,이상한 과자 가게 전천당 14,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김",길벗스쿨,어린이
202205,11,여학교의 별 2,"와야마 야마 지음, 현승희 옮김",문학동네,만화
202206,11,인플레이션에서 살아남기,오건영 지음,페이지2(page2),경제경영
202207,11,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),ETS 엮음,(주)YBM(와이비엠),외국어
202208,11,흔한남매 11,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,어린이
202209,11,도쿄 에일리언즈 4 (초판 한정 홀로그램 양면 일러스트 카드 + 선착순 한정 아크릴 일러스트 카드 포함 특장판),"NAOE 지음, 박소현 옮김",서울미디어코믹스(서울문화사),만화
202210,11,올리버쌤의 미국식 아이 영어 습관 365,"올리버 샨 그랜트 지음, 정다운 그림",다산북스,좋은부모
202401,12,해커스 토익 기출 VOCA (보카),David Cho ,해커스어학연구소(Hackers),외국어
202402,12,박근혜 회고록 1 : 어둠을 지나 미래로,박근혜 지음,중앙books(중앙북스),사회과학
202403,12,해커스 토익 기출 VOCA (보카),David Cho 지음,해커스어학연구소(Hackers),외국어
202301,12,슬램덩크 신장재편판 4,이노우에 타케히코 지음,대원씨아이(만화),만화
202302,12,슬램덩크 신장재편판 19,이노우에 타케히코 지음,대원씨아이(만화),만화
202303,12,거인의 노트,김익한 지음,다산북스,자기계발
202304,12,내면소통 (10만 부 기념 내면소통 워크북),김주환 지음,인플루엔셜(주),인문학
202305,12,나의 돈 많은 고등학교 친구,송희구 지음,서삼독,자기계발
202306,12,유연함의 힘,"수잔 애쉬포드 지음, 김정혜 옮김",상상스퀘어,자기계발
202307,12,아기 판다 푸바오,"에버랜드 동물원 지음, 강철원(에버랜드 동물원) 글, 류정훈(에버랜드 커뮤니케이션 그룹) ",시공주니어,에세이
202308,12,결혼·여름,"알베르 카뮈 지음, 장소미 옮김",녹색광선,에세이
202309,12,주술회전 23 (초판한정 스페셜 일러스트 카드 + 선착순 한정 고죠 사토루 포토 카드 포함 특장판),"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),만화
202310,12,최애의 아이 12,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),만화
202311,12,요즘 어른을 위한 최소한의 세계사,"임소미 지음, 김봉중 감수",빅피시,역사
202312,12,도둑맞은 집중력,"요한 하리 지음, 김하현 옮김",어크로스,인문학
202203,12,원피스 101,오다 에이치로 지음,대원씨아이(만화),만화
202204,12,흔한남매 10,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,어린이
202205,12,둥실이네 떡집,"김리리 지음, 김이랑 그림",비룡소,어린이
202206,12,세상의 마지막 기차역,"무라세 다케시 지음, 김지연 옮김",모모,소설/시/희곡
202207,12,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),ETS 엮음,(주)YBM(와이비엠),외국어
202208,12,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),ETS 엮음,(주)YBM(와이비엠),외국어
202209,12,헤어질 결심 각본,박찬욱.정서경 지음,을유문화사,예술/대중문화
202210,12,도쿄 리벤저스 28,와쿠이 켄 지음,학산문화사(만화),만화
202401,13,주술회전 25,아쿠타미 게게,서울미디어코믹스(서울문화사),만화
202402,13,퍼스널 MBA,"조쉬 카우프만 지음, 박상진.이상호 옮김",진성북스,경제경영
